strain	author	submitting_lab
A/duck/Vietnam/HN3801/2017	"Guan,L.; Zhong,G.; Fan,S.; Plisch,E.M.; Presler,R.; Gu,C.; Babujee,L.; Pattinson,D.; Hang,N.L.K.; Phuong,H.V.M.; Le,M.Q.; van Bakel,H.; Neumann,G.; Kawaoka,Y."	
A/Indonesia/NIHRD17109/2017	"HA,Pawestri;AA,Nugraha;E,Pratiwi;V,Setiawaty"	National Institute Of Health Research And Development
A/chicken/Vietnam/27262/2009	"Hanna,A.; To,T.L.; Tong,H.; Shell,W.; Coward,V.J.; Banks,J.; Brown,I.H.; Slomka,M.J."	
A/hoodedcrane/Kagoshima/4612J001/2010	"Hashimoto,Y.; Ito,H.; Nagai,Y.; Soda,K.; Ito,T."	
A/hoodedcrane/Kagoshima/4612J003/2010	"Hashimoto,Y.; Ito,H.; Nagai,Y.; Soda,K.; Ito,T."	
A/hoodedcrane/Kagoshima/2/2010	"Hashimoto,Y.; Ito,H.; Nagai,Y.; Soda,K.; Ito,T."	
A/hoodedcrane/Kagoshima/4612J004/2010	"Hashimoto,Y.; Ito,H.; Nagai,Y.; Soda,K.; Ito,T."	
A/duck/Fukushima/16/2011	"Hatamachi,J.; Kida,H.; Sakoda,Y.; Okamatsu,M."	
A/greathornedowl/BritishColumbia/AIVPHL361/2023	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/chicken/BritishColumbia/AIVPHL68/2022	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/redtailedhawk/BritishColumbia/AIVPHL362/2023	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/glaucouswingedgull/BritishColumbia/AIVPHL356/2023	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/baldeagle/BritishColumbia/AIVPHL15/2022	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/baldeagle/BritishColumbia/AIVPHL357/2023	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/chicken/BritishColumbia/AIVPHL40/2022	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/chicken/BritishColumbia/AIVPHL22/2022	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/greenwingedteal/BritishColumbia/AIVPHL334/2022	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/mallard/BritishColumbia/AIVPHL355/2023	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/coopershawk/BritishColumbia/AIVPHL231/2022	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/turkey/BritishColumbia/AIVPHL98/2022	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/turkey/BritishColumbia/AIVPHL132/2022	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/turkey/BritishColumbia/AIVPHL92/2022	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/greatblueheron/BritishColumbia/AIVPHL196/2022	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/greathornedowl/BritishColumbia/AIVPHL353/2023	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/greathornedowl/BritishColumbia/AIVPHL372/2023	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/cacklinggoose/BritishColumbia/AIVPHL367/2023	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/trumpeterswan/BritishColumbia/AIVPHL364/2023	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/canadagoose/BritishColumbia/AIVPHL371/2023	"Himsworth, Chelsea; Prystajecky,Natalie; Tyson,John; Jassem,Agatha; Kuchinski,Kevin; Coombe, Michelle; Lee,Tracy; Azana,Rob; Fung,Janet; Chan,Michael; Cheung,Branco; Caleta,Jessica; Tsang,Frankie; Russell,Shannon; Zlosnik,James; Hoang,Linda"	British Columbia Centre For Disease Control
A/emu/NL/FAV003512/2021	"Hisanaga,Tamiko; Fisher,Mathew; Lung,Oliver; Alkie,Tamiru; Xu,Wanhong; Suderman,Matthew; Koziuk,Janice; Berhane,Yohannes"	Canadian Food Inspection Agency
A/domesticgoose/NL/FAV003517/2021	"Hisanaga,Tamiko; Fisher,Mathew; Lung,Oliver; Alkie,Tamiru; Xu,Wanhong; Suderman,Matthew; Koziuk,Janice; Berhane,Yohannes"	Canadian Food Inspection Agency
A/Fancychicken/NL/FAV0035/2021	"Hisanaga,Tamiko; Fisher,Mathew; Lung,Oliver; Alkie,Tamiru; Xu,Wanhong; Suderman,Matthew; Koziuk,Janice; Berhane,Yohannes"	Canadian Food Inspection Agency
A/chicken/NL/FAV0033/2021	"Hisanaga,Tamiko; Fisher,Mathew; Lung,Oliver; Alkie,Tamiru; Xu,Wanhong; Suderman,Matthew; Koziuk,Janice; Berhane,Yohannes"	Canadian Food Inspection Agency
A/sandwichtern/Denmark/05712102/2022	"Hjulsager, Charlotte; Liang,Yuan"	Statens Serum Institute
A/commonbuzzard/Denmark/08287101/2022	"Hjulsager,Charlotte; Liang,Yuan"	Statens Serum Institute
A/peregrinefalcon/Denmark/06880102/2022	"Hjulsager,Charlotte; Liang,Yuan"	Statens Serum Institute
A/sandwichtern/Denmark/05802101/2022	"Hjulsager,Charlotte; Liang,Yuan"	Statens Serum Institute
A/sandwichtern/Denmark/05806101/2022	"Hjulsager,Charlotte; Liang,Yuan"	Statens Serum Institute
A/Arctictern/Denmark/05803101/2022	"Hjulsager,Charlotte; Liang,Yuan"	Statens Serum Institute
A/tawnyowl/Denmark/05372101/2022	"Hjulsager,Charlotte; Liang,Yuan"	Statens Serum Institute
A/tawnyowl/Denmark/05373101/2022	"Hjulsager,Charlotte; Liang,Yuan"	Statens Serum Institute
A/whitetailedeagle/Denmark/05716104/2022	"Hjulsager,Charlotte; Liang,Yuan"	Statens Serum Institute
A/barnaclegoose/Denmark/03332102/2022	"Hjulsager,Charlotte; Liang,Yuan"	Statens Serum Institute
A/Duck/Cambodia/Y0224304/2014	"Horm, S-V; Dussart,P"	Institut Pasteur Du Cambodia
A/Duck/Cambodia/Y0224302/2014	"Horm, S-V; Dussart,P"	Institut Pasteur Du Cambodia
A/Duck/Cambodia/Y0224303/2014	"Horm, S-V; Dussart,P"	Institut Pasteur Du Cambodia
A/Cambodia/Y0219302/2014	"Horm, S-V; Dussart,P"	Institut Pasteur Du Cambodia
A/Duck/Cambodia/Y0210303/2014	"Horm, S-V; Dussart,P"	Institut Pasteur Du Cambodia
A/duck/Cambodia/Z1120508/2015	"Horm, S-V; Dussart,P"	Institut Pasteur Du Cambodia
A/duck/Cambodia/Z1120504/2015	"Horm, S-V; Dussart,P"	Institut Pasteur Du Cambodia
A/duck/Cambodia/Z1120503/2015	"Horm, S-V; Dussart,P"	Institut Pasteur Du Cambodia
A/chicken/Cambodia/a0511502/2016	"Horm, S-V; Dussart,P"	Institut Pasteur Du Cambodia
A/chicken/Cambodia/a0511504/2016	"Horm, S-V; Dussart,P"	Institut Pasteur Du Cambodia
A/chicken/Cambodia/a0511503/2016	"Horm, S-V; Dussart,P"	Institut Pasteur Du Cambodia
A/duck/Bangladesh/19D1771/2021	"Hossain, M.E.; Miah, M.; Alam, S.; Hasan, R.; Davis, C.T.; Mott, A.J.; Davis, W.; Chowdhury, S.; Rahman, M.Z"	"International Centre For Diarrhoeal Disease Research (icddr,b)"
A/chicken/Bangladesh/19D1836/2022	"Hossain, M.E.; Miah, M.; Alam, S.; Hasan, R.; Davis, C.T.; Mott, A.J.; Davis, W.; Chowdhury, S.; Rahman, M.Z"	"International Centre For Diarrhoeal Disease Research (icddr,b)"
A/duck/Bangladesh/17D1854/2022	"Hossain, M.E.; Miah, M.; Puspo, JA.; Hasan, R.; Davis, C.T.; Mott, A.J.; Davis, W.; Chowdhury, S.; Rahman, M.Z"	"International Centre For Diarrhoeal Disease Research (icddr,b)"
A/duck/Bangladesh/19D1859/2022	"Hossain, M.E.; Miah, M.; Puspo, JA.; Hasan, R.; Davis, C.T.; Mott, A.J.; Davis, W.; Chowdhury, S.; Rahman, M.Z"	"International Centre For Diarrhoeal Disease Research (icddr,b)"
A/chicken/Bangladesh/18B557/2022	"Hossain, M.E.; Miah, M.; Puspo, JA.; Hasan, R.; Davis, C.T.; Mott, A.J.; Davis, W.; Chowdhury, S.; Rahman, M.Z"	"International Centre For Diarrhoeal Disease Research (icddr,b)"
A/duck/Bangladesh/17D1844/2022	"Hossain, M.E.; Miah, M.; Puspo, JA.; Hasan, R.; Davis, C.T.; Mott, A.J.; Davis, W.; Chowdhury, S.; Rahman, M.Z"	"International Centre For Diarrhoeal Disease Research (icddr,b)"
A/duck/Bangladesh/19D1850/2022	"Hossain, M.E.; Miah, M.; Puspo, JA.; Hasan, R.; Davis, C.T.; Mott, A.J.; Davis, W.; Chowdhury, S.; Rahman, M.Z"	"International Centre For Diarrhoeal Disease Research (icddr,b)"
A/duck/Bangladesh/19D1890/2022	"Hossain, M.E.; Miah, M.; Puspo, JA.; Hasan, R.; Davis, C.T.; Mott, A.J.; Davis, W.; Chowdhury, S.; Rahman, M.Z"	"International Centre For Diarrhoeal Disease Research (icddr,b)"
A/duck/Bangladesh/17D1873/2022	"Hossain, M.E.; Miah, M.; Puspo, JA.; Hasan, R.; Davis, C.T.; Mott, A.J.; Davis, W.; Chowdhury, S.; Rahman, M.Z"	"International Centre For Diarrhoeal Disease Research (icddr,b)"
A/duck/Bangladesh/17D1869/2022	"Hossain, M.E.; Miah, M.; Puspo, JA.; Hasan, R.; Davis, C.T.; Mott, A.J.; Davis, W.; Chowdhury, S.; Rahman, M.Z"	"International Centre For Diarrhoeal Disease Research (icddr,b)"
A/duck/Bangladesh/17D1868/2022	"Hossain, M.E.; Miah, M.; Puspo, JA.; Hasan, R.; Davis, C.T.; Mott, A.J.; Davis, W.; Chowdhury, S.; Rahman, M.Z"	"International Centre For Diarrhoeal Disease Research (icddr,b)"
A/goose/Jiangsu/k0403/2010	"Hu,J.; Zhao,K.; Liu,X.; Wang,X.; Chen,Z."	
A/chicken/Tonghai/802/2014	"Hu,T.; Song,J.; Zhang,W.; Zhao,H.; Duan,B.; Liu,Q.; Zeng,W.; Qiu,W.; Chen,G.; Zhang,Y.; Fan,Q.; Zhang,F."	
A/tiger/Yunnan/tig1404/2014	"Hu,T.; Zhao,H.; Zhang,Y.; Zhang,W.; Kong,Q.; Zhang,Z.; Cui,Q.; Qiu,W.; Deng,B.; Fan,Q.; Zhang,F."	
A/peacock/Yunnan/3/2015	"Hu,T.; Zhao,H.; Zhang,Y.; Zhang,W.; Kong,Q.; Zhang,Z.; Cui,Q.; Qiu,W.; Deng,B.; Fan,Q.; Zhang,F."	
A/chicken/Shanxi/0302/2012	"Huang,J.; Mo,Y.; Chen,H.; Gu,M.; Wang,X.; Liu,X."	
A/chicken/Lebanon/157/2016	"Ibrahim,E.; Sirawan,A.; El-Bazzal,B.; Kandeil,A.; Ali,M.; Kayali,G."	
A/Duck/Bangladesh/BDADAI3230/2019	"Islam,A.; Islam,S.; Flora,M.S.; Hassan,M.M.; Ducatez,M.F.; Woodard,K.; Webb,A.; Webby,R.; El Zowalaty,M.E."	
A/Duck/Bangladesh/BDADAI3093/2019	"Islam,A.; Islam,S.; Flora,M.S.; Rahman,M.; Ziaur,R.M.; Epstein,J.H.; Hassan,M.; Klassen,M.; Woodard,K.; Webb,A.; Webby,R.J.; El Zowalaty,M.E."	
A/rook/Sartlan/42/2015	"Ivan,Susloparov; Vasily,Marchenko; Natalya,Goncharova; Andrey,Shipovalov; Alexander,Durymanov; Tatyana,Ilyicheva; Alexander,Ryzhikov"	State Research Center Of Virology And Biotechnology (vector)
A/rook/Chany/32/2015	"Ivan,Susloparov; Vasily,Marchenko; Natalya,Goncharova; Andrey,Shipovalov; Alexander,Durymanov; Tatyana,Ilyicheva; Alexander,Ryzhikov"	State Research Center Of Virology And Biotechnology (vector)
A/rook/Dovolnoe/50/2015	"Ivan,Susloparov; Vasily,Marchenko; Natalya,Goncharova; Andrey,Shipovalov; Alexander,Durymanov; Tatyana,Ilyicheva; Alexander,Ryzhikov"	State Research Center Of Virology And Biotechnology (vector)
A/wildbird/Jiangsu/H102/2015	"Jiang,W.; Hou,G.; Li,J.; Peng,C.; Wang,S.; Chen,J."	
A/wildbird/Jiangsu/H59/2015	"Jiang,W.; Hou,G.; Li,J.; Peng,C.; Wang,S.; Chen,J."	
A/chicken/Hubei/RA18/2010	"Jiang,W.; Liu,S.; Chen,J."	
A/peregrinefalcon/HongKong/810/2009	"Jizou,M.; Kida,H.; Sakoda,Y.; Okamatsu,M."	
A/crestedmyna/HongKong/1178/2009	"Jizou,M.; Kida,H.; Sakoda,Y.; Okamatsu,M."	
A/largebilledcrow/HongKong/885/2009	"Jizou,M.; Kida,H.; Sakoda,Y.; Okamatsu,M."	
A/greyheron/HongKong/779/2009	"Jizou,M.; Kida,H.; Sakoda,Y.; Okamatsu,M."	
A/feralpigeon/HongKong/3409/2009	"Jizou,M.; Kida,H.; Sakoda,Y.; Okamatsu,M."	
A/orientalmagpierobin/HongKong/9298/2009	"Jizou,M.; Kida,H.; Sakoda,Y.; Okamatsu,M."	
A/commongoldeneye/Mongolia/X60/2009	"Jizou,M.; Kida,H.; Sakoda,Y.; Okamatsu,M."	
A/whooperswan/Mongolia/7/2010	"Jizou,M.; Kida,H.; Sakoda,Y.; Okamatsu,M."	
A/whooperswan/Mongolia/1/2010	"Jizou,M.; Kida,H.; Sakoda,Y.; Okamatsu,M."	
A/whooperswan/Mongolia/2/2009	"Jizou,M.; Kida,H.; Sakoda,Y.; Okamatsu,M."	
A/whooperswan/Mongolia/11/2010	"Jizou,M.; Kida,H.; Sakoda,Y.; Okamatsu,M."	
A/whooperswan/Mongolia/21/2010	"Jizou,M.; Kida,H.; Sakoda,Y.; Okamatsu,M."	
A/whooperswan/Mongolia/6/2009	"Jizou,M.; Kida,H.; Sakoda,Y.; Okamatsu,M.; Kang,H.M.; Batchuluun,D.; Kim,M.C.; Choi,J.G.; Erdene-Ochir,T.O.; Paek,M.R.; Sugir,T.; Sodnomdarjaa,R.; Kwon,J.H.; Lee,Y.J.; Kang,H.-M.; Kim,M.-C.; Choi,J.-G.; Erdene-Ochir,T.-O.; Paek,M.-R.; Kwon,J.-H."	
A/duck/Hokkaido/WZ101/2010	"Kajihara,M.; Matsuno,K.; Simulundu,E.; Muramatsu,M.; Noyori,O.; Manzoor,R.; Nakayama,E.; Igarashi,M.; Tomabechi,D.; Takada,A."	
A/duck/Choco/ICA3501/2022	"Kariithi,H.M.; Sierra,E.U.; Calderon,P.C.; Suarez,D.L."	
A/chicken/Choco/ICA3502/2022	"Kariithi,H.M.; Sierra,E.U.; Calderon,P.C.; Suarez,D.L."	
A/chicken/Choco/ICA3504/2022	"Kariithi,H.M.; Sierra,E.U.; Calderon,P.C.; Suarez,D.L."	
A/chicken/Magdalena/ICA3503/2022	"Kariithi,H.M.; Sierra,E.U.; Calderon,P.C.; Suarez,D.L."	
A/chicken/Bolivar/ICA3500/2022	"Kariithi,H.M.; Sierra,E.U.; Calderon,P.C.; Suarez,D.L."	
A/chicken/Cordoba/ICA3499/2022	"Kariithi,H.M.; Sierra,E.U.; Calderon,P.C.; Suarez,D.L."	
A/Dk/Cimahi/C1/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Eijkman Institute For Molecular Biology
A/MusDk/Indramayu/S31/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Qu/Subang/S62/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Qu/Indramayu/S28/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Ch/Subang/S8/2015	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Ch/Subang/S4/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Ch/Subang/S41c/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Ch/Subang/S42c/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Ch/Subang/S15/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Ch/Subang/S18/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/MusDk/Indramayu/S60/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Ch/Subang/S7/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Ch/Indramayu/S25/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Ch/Subang/S19/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Ch/Subang/S3/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Ch/Subang/S9/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Dk/Subang/S57/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Dk/Subang/S10/2015	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Qu/Indramayu/S53/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Ch/Indramayu/S54/2016	"Karo-karo,D; Bodewes,R; Muljono,D; Sriyani,I.Y; Artika,IM; Wibawa,H; Pribadi,ES;Pratomo,W; Diyantoro,D; Sugama,A; Hendrayani,N; Hidayat,A; Daju,D; Kustiawan,I;Citra,A; Stegeman,JA; Koch, G"	Utrecht University Central Veterinary Institute
A/Turkey/Hungary/16603/2021	"Katalin,Szentpáli-Gavallér;Ádám,Bálint;Krisztina,Ursu;Péter,Malik"	"National Food Chain Safety Office, Hungary"
A/Americanwigeon/Washington/196340/2015	"Killian,M.L.; Ip,H.S.; Griffin,K.; Messer,J.; McMullen,K.; Dusek,R.; Bodenstein,B."	
A/Americanwigeon/Washington/196336/2015	"Killian,M.L.; Ip,H.S.; Griffin,K.; Messer,J.; McMullen,K.; Dusek,R.; Bodenstein,B."	
